model_name,lit__title,lit__year,lit__journal,lit__doi,lit__volume,lit__issue,lit__data_linked,lit__code_linked,lit__training_set,casf__year,casf__n_complexes,casf__target,casf__target_unit,casf__target_normalized,reported__pearson_r,availability_type,link,license,last_commit_date,has_readme,install_instructions,explicit_versions,environment_file,install_script,preprocessing_scripts,inference_scripts,training_scripts,pretrained_weights,notebook,example_input_data,example_intermediate_data,example_output_predictions,study_fork__link,study_fork__changes_summary,data_repo__link,data_repo__doi,data_repo__license,data_repo__description,env__python_version,env__conda_env_name,env__conda_env_file,env__cuda_toolkit,env__hardware,repro__status,repro__troubleshooting_time,repro__failure_notes,repro__checkpoint_used,repro__pearson_r,repro__notes,barrier__no_public_code,barrier__web_server_only,barrier__supplementary_only,barrier__missing_weights,barrier__missing_preprocessing_code,barrier__missing_inference_code,barrier__missing_environment_spec,barrier__notebook_only,barrier__time_limit_reached,failure__missing_weights,failure__missing_preprocessing_code,failure__missing_inference_code,failure__missing_environment_spec,failure__broken_dependencies,failure__hard_coded_paths,failure__runtime_error,failure__incorrect_results,failure__undocumented_data_format,failure__hardware_incompatibility,failure__checkpoint_ambiguity
ECIF,Extended connectivity interaction features: improving binding affinity prediction through chemical description,2021,Bioinformatics,https://doi.org/10.1093/bioinformatics/btaa982,37,10,partial,yes,PDBbind v.2016 refined,2016,285,pK,,,0.866,github,https://github.com/DIFACQUIM/ECIF,MIT,2021-09-23,True,False,False,False,False,False,True,True,False,True,partial,no,no,,,,,,,,,,,,Not attempted,,,,,,False,False,False,True,True,False,True,False,False,True,True,False,True,False,False,False,False,True,False,False
egGNN,Edge-Gated Graph Neural Network for Predicting Protein-Ligand Binding Affinities,2021,IEEE International Conference on Bioinformatics and Biomedicine (BIBM),10.1109/BIBM52615.2021.9669846,,,no,no,PDB v.2019 refined,2016,285,pK,,,0.86,github,https://github.com/xfcui/egGNN,GPL-3.0,2022-06-20,True,True,True,True,False,True,True,True,True,False,no,no,no,https://github.com/jeavesj/egGNN,"Fixed SMILES input in `egGNN_pipeline.py` to read from a file path instead of accepting a raw string; patched PyTorch/DGL compatibility in `run_egGNN()` (added missing `approximate` attribute on GELU layers and `_size` on ParameterList modules); added `--out_csv` arg, per-complex timing, and skip-if-already-done logic to `run_egGNN.py`; added SLURM batch script for CASF-2016 inference; added conda environment file and a README note about SMILES generation.",,,,,3.10.19,eggnn,https://github.com/jeavesj/egGNN/blob/master/msu_hpcc_amd24-h200_environment.yml,12.1,MSU HPCC amd24-H200,"Runnable, not reproducible",2-4h,smiles parsing errors and no code for generating smiles from ligand structure files,https://github.com/jeavesj/egGNN/blob/master/egGNN/checkpoint/16-8596.sav,0.669,,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
EGNA,Leveraging scaffold information to predict protein–ligand binding affinity with an empirical graph neural network,2023,Briefings in Bioinformatics,https://doi.org/10.1093/bib/bbac603,24,1,partial,yes,PDBbind v.2016 general,2016,285,pK,,,0.842,github,https://github.com/chunqiux/EGNA,GPL-3.0,2022-12-12,True,True,True,True,False,True,True,True,True,False,,,,https://github.com/jeavesj/EGNA,Added `--models_dir` argument to `predict.py` for configurable model weight paths; added `safe_copy_pdb()` to `raw_features.py` to strip alternate conformers and malformed PDB records causing Bio.PDB parse failures; made temp directory configurable via `EGNA_TMP_DIR` environment variable.,,,,,3.7.13,egna_env,https://github.com/jeavesj/EGNA/blob/main/egna_env.yml,,MSU HPCC amd24-H200,Statistically reproduced,2-4h,,https://github.com/jeavesj/EGNA/tree/main/models,0.826,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
EHIGN-PLA,Interaction-Based Inductive Bias in Graph Neural Networks: Enhancing Protein-Ligand Binding Affinity Predictions From 3D Structures,2024,IEEE Transactions on Pattern Analysis and Machine Intellegence,https://doi.org/10.1109/TPAMI.2024.3400515,46,12,yes,yes,PDBbind v.2016 general,2016,285,pK,,,0.854,github,https://github.com/guaguabujianle/EHIGN_PLA,MIT,2024-05-16,True,False,True,True,False,True,True,True,True,False,,,,https://github.com/jeavesj/EHIGN_PLA,"Added a full conda environment file; refactored `generate_pocket()` to accept an explicit CSV of complex IDs and skip already-processed entries; added None-graph filtering in `collate_fn`, a guard against empty dataloaders, and per-inference timing throughout.",https://drive.google.com/file/d/1oGUP4z7htNXyxTqx95HNSDLsaoxa3fX7/view,,,preprocessed graphs,3.9,ehign_pla,https://github.com/jeavesj/EHIGN_PLA/blob/main/environment_jeavesj.yml,11.3,MSU HPCC amd24-H200,Statistically reproduced,2-4h,,https://github.com/jeavesj/EHIGN_PLA/blob/main/model/20230120_135757_EHIGN_repeat0/model/epoch-144%2C%20train_loss-0.5772%2C%20train_rmse-0.7598%2C%20valid_rmse-1.1799%2C%20valid_pr-0.7718.pt,0.851,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
EISA-Score,EISA-Score: Element Interactive Surface Area Score for Protein–Ligand Binding Affinity Prediction,2022,Journal of Chemical Information and Modeling,10.1021/acs.jcim.2c00697,62,18,no,yes,PDBbind v.2016 refined,2016,285,pK,,,0.821,github,https://github.com/MathIntelligence/EISA-Score,GPL-3.0,2022-06-05,True,False,False,False,False,True,False,False,False,False,no,no,no,,,,,,,,,,,,Not attempted,,,,,,False,False,False,True,False,True,True,False,False,True,False,True,True,False,False,False,False,True,False,False
ET-Score,ET-score: Improving Protein-ligand Binding Affinity Prediction Based on Distance-weighted Interatomic Contact Features Using Extremely Randomized Trees Algorithm,2021,Molecular Informatics,https://doi.org/10.1002/minf.202060084,40,8,partial,yes,PDBbind v.2016 refined,2016,285,pK,,,0.827,github,https://github.com/miladrayka/ET_Score,GPL-3.0,2023-07-14,True,True,False,False,False,True,True,True,True,False,partial,no,no,https://github.com/jeavesj/ET_Score,Fixed Windows path separators and narrowed ligand glob pattern from `*.mol2` to `*_ligand.mol2` in `generate_feature.py`; fixed divide-by-zero by excluding zero-distances in two filter lambdas and sanitizing resulting infinities in `predict.py`; fixed sklearn import compatibility via `sys.modules` aliasing; added per-complex prep- and inference-time logging; switched output from Excel to CSV; added conda environment file.,https://figshare.com/articles/software/ET-Score/23684538,https://doi.org/10.6084/m9.figshare.23684538,CC BY 4.0,model weights,3.8.20,etscore_new,https://github.com/jeavesj/ET_Score/blob/master/msu_hpcc_amd24-h200_environment.yml,,MSU HPCC amd24-H200,"Runnable, not reproducible",2-4h,Bugs in featurization code throwing divide-by-zero issue for zero distances,https://figshare.com/articles/software/ET-Score/23684538,0.395,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
FGNN,Ligand binding affinity prediction with fusion of graph neural networks and 3D structure-based complex graph,2023,Physical Chemistry Chemical Physics,https://doi.org/10.1039/D3CP03651K,25,,no,yes,PDBbind v.2016 general,2016,285,pK,,,0.873,github,https://github.com/LinaDongXMU/FGNN,MIT,2024-09-13,True,True,True,True,False,True,True,True,False,False,yes,yes,no,,,,,,,,,,,,Not attempted,,,,,,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
GB-Score,GB-score: Minimally designed machine learning scoring function based on distance-weighted interatomic contact features,2023,Molecular Informatics,https://doi.org/10.1002/minf.202200135,42,3,partial,yes,PDBbind v.2019 general,2016,285,pK,,,0.852,github,https://github.com/miladrayka/GB_Score,AGPL-3.0,2023-07-14,True,True,True,False,False,True,False,False,False,True,no,no,no,,,https://figshare.com/articles/dataset/GB-Score_Files/23684484?file=41562030,https://doi.org/10.6084/m9.figshare.23684484,CC BY 4.0,model weights,,,,,,Not attempted,,,,,,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False
GCNN01,Enhancing protein-ligand binding affinity prediction through sequential fusion of graph and convolutional neural networks,2024,Journal of Computational Chemistry,https://doi.org/10.1002/jcc.27499,45,32,no,yes,PDBbind v.2020 general,2016,285,pK,,,0.772,github,https://github.com/IanYMY/GCNN,BSD-3-Clause,2024-09-02,True,False,True,False,False,False,True,True,False,False,no,no,no,,,,,,,,,,,,Not attempted,,,,,,False,False,False,True,True,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False
GGL-Score,Geometric graph learning with extended atom-types features for protein-ligand binding affinity prediction,2023,Computers in Biology and Medicine,https://doi.org/10.1016/j.compbiomed.2023.107250,164,,no,yes,PDBbind v.2016 general,2016,285,pK,,,0.872,github,https://github.com/MathIntelligence/GGL-ETA-Score,GPL-3.0,2023-01-18,True,False,True,True,False,True,True,False,False,True,partial,no,no,,,,,,,,,,,,Not attempted,,,,,,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
